id,X,Y,M,V
158,-100.0,300.0,25.0,0.6
159,-400.0,-200.0,50.0,0.4
160,100.0,300.0,125.0,0.2
161,-400.0,-300.0,100.0,0.8
162,-400.0,-200.0,100.0,0.6
163,-300.0,-200.0,175.0,0.2
164,300.0,400.0,25.0,0.4
165,400.0,-300.0,100.0,0.6
166,0.0,0.0,150.0,0.6
167,-100.0,-200.0,50.0,1.0
168,-400.0,400.0,100.0,0.8
169,200.0,400.0,75.0,0.2
170,200.0,-400.0,100.0,0.8
171,-400.0,400.0,175.0,0.8
172,100.0,400.0,150.0,0.4
173,-400.0,-100.0,75.0,1.0
174,-400.0,-300.0,125.0,0.8
175,-200.0,300.0,50.0,0.8
176,0.0,-300.0,75.0,0.4
177,-100.0,-100.0,100.0,0.8
178,0.0,300.0,150.0,0.8
179,-100.0,200.0,100.0,0.2
180,-200.0,300.0,75.0,1.0
181,-100.0,0.0,150.0,0.8
182,-200.0,-300.0,25.0,0.2
183,100.0,200.0,100.0,0.4
184,400.0,300.0,25.0,0.8
185,100.0,-100.0,100.0,0.2
186,200.0,-400.0,125.0,0.6
187,200.0,-100.0,175.0,1.0
188,-400.0,100.0,50.0,0.2
189,-300.0,-200.0,50.0,1.0
190,200.0,-100.0,50.0,1.0
191,300.0,200.0,150.0,1.0
192,400.0,300.0,125.0,0.6
193,-300.0,200.0,125.0,0.2
194,100.0,400.0,100.0,0.8
195,-400.0,300.0,50.0,0.8
196,-200.0,200.0,150.0,0.4
197,-400.0,-300.0,150.0,0.8
198,400.0,-400.0,150.0,0.6
199,0.0,100.0,100.0,0.6
200,400.0,-200.0,75.0,0.2
201,400.0,100.0,150.0,0.8
202,-300.0,0.0,175.0,1.0
203,300.0,400.0,150.0,0.6
204,-300.0,300.0,100.0,1.0
205,-400.0,200.0,50.0,0.2
206,100.0,-100.0,25.0,1.0
207,-300.0,300.0,75.0,0.4
208,-300.0,200.0,50.0,0.4
209,300.0,300.0,175.0,0.2
210,400.0,-100.0,50.0,0.4
211,400.0,0.0,50.0,0.6
212,200.0,0.0,50.0,0.6
213,-200.0,400.0,125.0,0.8
214,200.0,0.0,25.0,0.8
215,400.0,100.0,75.0,1.0
216,300.0,-400.0,150.0,0.8
217,300.0,400.0,150.0,0.2
218,-200.0,0.0,150.0,1.0
219,300.0,100.0,75.0,1.0
220,-200.0,400.0,175.0,0.8
221,-200.0,-400.0,25.0,0.2
222,-400.0,-400.0,50.0,0.6
223,100.0,-200.0,50.0,0.8
224,-100.0,-300.0,50.0,0.8
225,0.0,100.0,150.0,0.4
226,-300.0,100.0,100.0,0.4
227,300.0,-200.0,75.0,1.0
228,-300.0,-400.0,75.0,0.4
229,-200.0,-200.0,150.0,1.0
230,400.0,-400.0,175.0,0.4
231,300.0,-300.0,150.0,0.6
232,400.0,200.0,100.0,0.2
233,100.0,100.0,25.0,1.0
234,0.0,0.0,150.0,0.8
235,-300.0,-200.0,25.0,1.0
236,-400.0,-200.0,25.0,1.0
237,300.0,400.0,100.0,0.8
238,0.0,-200.0,125.0,1.0
239,200.0,400.0,25.0,1.0
240,-400.0,-200.0,175.0,0.4
241,400.0,-300.0,25.0,0.2
242,400.0,300.0,125.0,1.0
243,200.0,-100.0,25.0,0.4
244,300.0,-400.0,175.0,0.8
245,400.0,-100.0,150.0,0.2
246,300.0,200.0,100.0,0.4
247,-100.0,-400.0,50.0,1.0
248,-200.0,0.0,175.0,0.8
249,-100.0,100.0,175.0,0.2
250,-200.0,-200.0,125.0,0.8
251,-100.0,0.0,75.0,1.0
252,400.0,300.0,175.0,0.2
253,-100.0,300.0,150.0,0.8
254,-200.0,200.0,150.0,0.2
255,-200.0,400.0,50.0,0.4
256,-100.0,-400.0,175.0,1.0
257,-200.0,-200.0,50.0,0.8
258,400.0,0.0,175.0,0.8
259,200.0,-100.0,175.0,0.8
260,400.0,-200.0,125.0,0.6
261,100.0,200.0,100.0,0.6
262,300.0,300.0,50.0,0.2
263,-400.0,-200.0,125.0,0.8
264,0.0,-400.0,25.0,0.8
265,300.0,300.0,150.0,1.0
266,200.0,-200.0,150.0,0.6
267,-100.0,-300.0,125.0,0.6
268,400.0,400.0,100.0,1.0
269,200.0,200.0,75.0,0.2
270,-400.0,-100.0,150.0,0.8
271,-400.0,-200.0,175.0,0.6
272,200.0,-200.0,75.0,0.6
273,100.0,200.0,150.0,0.8
274,100.0,300.0,75.0,0.4
275,0.0,300.0,175.0,1.0
276,-300.0,-100.0,175.0,0.4
277,0.0,100.0,100.0,0.4
278,-200.0,400.0,125.0,1.0
279,300.0,-400.0,50.0,0.6
280,100.0,-200.0,75.0,1.0
281,-300.0,-400.0,25.0,0.8
282,-200.0,200.0,75.0,0.6
283,-100.0,200.0,100.0,0.4
284,-200.0,0.0,125.0,0.4
285,-400.0,-400.0,25.0,0.4
286,0.0,0.0,50.0,0.4
287,-200.0,-200.0,75.0,0.2
288,200.0,200.0,150.0,0.2
289,-300.0,0.0,25.0,0.6
290,100.0,-300.0,50.0,1.0
291,200.0,-200.0,50.0,0.2
292,-200.0,-200.0,175.0,0.4
293,-200.0,100.0,150.0,0.2
294,-200.0,0.0,100.0,0.2
295,100.0,0.0,125.0,1.0
296,-100.0,200.0,75.0,1.0
297,-400.0,-200.0,125.0,0.4
298,300.0,300.0,100.0,0.8
299,200.0,300.0,100.0,0.8
300,200.0,300.0,150.0,0.8
301,-200.0,-400.0,150.0,0.8
302,-100.0,200.0,125.0,0.4
303,400.0,-200.0,150.0,0.2
304,200.0,200.0,50.0,0.8
305,400.0,-300.0,175.0,0.8
306,300.0,-100.0,150.0,0.8
307,-300.0,-300.0,175.0,1.0
308,0.0,0.0,25.0,0.8
309,100.0,-200.0,125.0,0.4
310,100.0,0.0,50.0,1.0
311,0.0,0.0,75.0,0.2
312,400.0,400.0,175.0,0.2
313,-100.0,100.0,25.0,0.8
314,400.0,400.0,50.0,0.6
315,-100.0,400.0,50.0,0.2
316,-200.0,200.0,100.0,0.4
317,300.0,-200.0,25.0,0.2
318,200.0,-400.0,125.0,0.2
319,200.0,200.0,175.0,0.4
320,400.0,-400.0,50.0,0.2
321,200.0,100.0,150.0,0.8
322,400.0,0.0,25.0,0.6
323,-300.0,400.0,125.0,0.2
324,-300.0,400.0,25.0,0.6
325,-400.0,100.0,125.0,1.0
326,-400.0,400.0,150.0,0.2
327,-300.0,-300.0,150.0,0.6
328,0.0,-200.0,150.0,0.2
329,400.0,-400.0,100.0,1.0
330,-300.0,100.0,150.0,0.8
331,-400.0,400.0,75.0,0.8
332,-100.0,200.0,150.0,0.8
333,-400.0,200.0,125.0,0.4
334,100.0,-400.0,150.0,0.2
335,-400.0,0.0,150.0,1.0
336,-200.0,100.0,75.0,1.0
337,-200.0,-200.0,150.0,0.2
338,100.0,200.0,25.0,0.4
339,-200.0,400.0,150.0,0.2
340,-300.0,400.0,150.0,0.6
341,-400.0,300.0,150.0,0.6
342,0.0,-400.0,25.0,1.0
343,-100.0,300.0,50.0,0.6
344,100.0,400.0,125.0,0.2
345,-300.0,-400.0,100.0,0.4
346,100.0,100.0,25.0,0.8
347,-300.0,200.0,175.0,0.4
348,-300.0,400.0,25.0,0.2
349,200.0,200.0,75.0,0.4
350,400.0,0.0,125.0,0.6
351,300.0,400.0,175.0,0.8
352,200.0,-200.0,150.0,0.8
353,0.0,-200.0,25.0,1.0
354,100.0,100.0,175.0,0.2
355,-200.0,-400.0,150.0,1.0
356,300.0,300.0,100.0,0.4
357,200.0,-200.0,125.0,0.8
358,400.0,-200.0,50.0,1.0
359,-200.0,-300.0,150.0,0.4
360,0.0,-100.0,175.0,1.0
361,-300.0,-400.0,150.0,0.8
362,-400.0,300.0,175.0,0.4
363,-200.0,-100.0,25.0,0.8
364,400.0,100.0,125.0,0.8
365,0.0,200.0,175.0,0.8
366,100.0,-400.0,25.0,0.2
367,-200.0,-300.0,25.0,1.0
368,-300.0,100.0,50.0,0.2
369,400.0,400.0,100.0,0.4
370,100.0,-100.0,125.0,0.6
371,-300.0,200.0,125.0,0.4
372,-300.0,400.0,175.0,0.6
373,-100.0,-300.0,75.0,0.6
374,-100.0,400.0,100.0,0.2
375,200.0,300.0,25.0,0.8
376,0.0,-100.0,25.0,0.8
377,400.0,100.0,50.0,0.4
378,200.0,100.0,125.0,1.0
379,-100.0,100.0,100.0,0.8
380,-100.0,200.0,150.0,1.0
381,-400.0,200.0,100.0,0.6
382,-100.0,400.0,75.0,0.4
383,-100.0,-300.0,75.0,0.8
384,-300.0,400.0,175.0,0.4
385,100.0,0.0,100.0,0.2
386,-400.0,-200.0,150.0,0.2
387,-300.0,-200.0,100.0,0.6
388,400.0,0.0,75.0,1.0
389,0.0,300.0,125.0,0.8
390,100.0,-100.0,25.0,0.8
391,-100.0,400.0,125.0,0.2
392,200.0,-400.0,100.0,0.2
393,400.0,100.0,25.0,0.4
394,300.0,-100.0,150.0,1.0
395,200.0,-300.0,50.0,0.2
396,-100.0,-100.0,175.0,0.6
397,-300.0,400.0,175.0,0.2
398,-100.0,-200.0,75.0,0.2
399,0.0,-200.0,25.0,0.6
400,-100.0,-200.0,100.0,0.8
401,-100.0,300.0,25.0,0.4
402,400.0,300.0,175.0,0.6
403,100.0,400.0,25.0,0.2
404,-100.0,-400.0,25.0,0.8
405,100.0,-300.0,150.0,0.8
406,-300.0,-100.0,25.0,0.2
407,400.0,400.0,150.0,0.4
408,100.0,200.0,100.0,0.8
409,200.0,-100.0,75.0,0.2
410,400.0,-300.0,125.0,0.8
411,100.0,-300.0,100.0,0.2
412,200.0,200.0,100.0,0.2
413,100.0,-400.0,100.0,0.8
414,0.0,-100.0,25.0,0.2
415,200.0,200.0,25.0,0.6
416,-200.0,-400.0,150.0,0.2
417,-400.0,0.0,175.0,0.2
418,-100.0,300.0,125.0,0.8
419,100.0,100.0,25.0,0.4
420,100.0,-400.0,100.0,1.0
421,-400.0,0.0,50.0,0.8
422,-100.0,300.0,175.0,0.8
423,100.0,400.0,75.0,0.6
424,-400.0,-300.0,125.0,0.4
425,-300.0,400.0,75.0,0.4
426,300.0,100.0,25.0,0.4
427,-400.0,-100.0,50.0,0.6
428,400.0,-100.0,125.0,0.2
429,400.0,200.0,50.0,0.2
430,-400.0,400.0,75.0,0.2
431,-200.0,-300.0,50.0,0.4
432,-300.0,0.0,75.0,0.4
433,200.0,-100.0,175.0,0.6
434,400.0,300.0,25.0,1.0
435,-100.0,100.0,100.0,0.4
436,-200.0,200.0,50.0,1.0
437,-200.0,200.0,150.0,0.8
438,300.0,200.0,50.0,0.6
439,100.0,-200.0,25.0,1.0
440,0.0,0.0,100.0,1.0
441,-100.0,-100.0,175.0,0.4
442,-100.0,-400.0,25.0,0.4
443,-100.0,200.0,150.0,0.2
444,100.0,0.0,100.0,0.8
445,-200.0,300.0,75.0,0.4
446,-400.0,-200.0,150.0,0.8
447,-100.0,-300.0,100.0,0.6
448,400.0,400.0,50.0,0.2
449,100.0,-400.0,75.0,0.4
450,-200.0,-100.0,50.0,0.2
451,-100.0,400.0,75.0,0.2
452,200.0,300.0,50.0,0.4
453,300.0,-100.0,25.0,0.2
454,0.0,-400.0,75.0,0.4
455,100.0,-200.0,150.0,0.2
456,-300.0,200.0,175.0,0.2
457,-400.0,0.0,175.0,0.8
458,-300.0,200.0,150.0,1.0
459,-100.0,200.0,150.0,0.6
460,400.0,300.0,75.0,0.8
461,-400.0,-300.0,50.0,0.2
462,200.0,200.0,75.0,1.0
463,300.0,-400.0,100.0,0.2
464,400.0,400.0,75.0,1.0
465,200.0,400.0,175.0,1.0
466,-200.0,-100.0,125.0,0.2
467,100.0,-400.0,125.0,0.8
468,400.0,300.0,175.0,0.8
469,0.0,-300.0,150.0,0.6
470,100.0,-200.0,100.0,0.2
471,400.0,200.0,150.0,1.0
472,-400.0,100.0,100.0,0.4
473,-200.0,100.0,75.0,0.6
474,-400.0,-100.0,175.0,0.6
475,300.0,-100.0,150.0,0.2
476,100.0,200.0,175.0,0.6
477,100.0,200.0,50.0,0.6
478,-400.0,-200.0,150.0,0.6
479,400.0,-100.0,175.0,0.4
480,-100.0,100.0,25.0,0.2
481,-400.0,400.0,125.0,0.4
482,100.0,400.0,75.0,0.8
483,300.0,200.0,175.0,0.4
484,200.0,400.0,100.0,0.4
485,-100.0,200.0,175.0,0.8
486,-400.0,0.0,25.0,0.2
487,-400.0,200.0,25.0,0.6
488,0.0,200.0,125.0,0.4
489,-300.0,-400.0,50.0,0.8
490,0.0,0.0,50.0,1.0
491,-100.0,100.0,150.0,0.8
492,100.0,300.0,125.0,0.6
493,400.0,0.0,25.0,1.0
494,200.0,300.0,25.0,0.6
495,-100.0,400.0,25.0,0.4
496,200.0,-100.0,75.0,0.4
497,400.0,100.0,150.0,0.6
498,200.0,0.0,150.0,0.4
499,100.0,300.0,25.0,1.0
500,400.0,400.0,175.0,0.6
501,400.0,-400.0,50.0,0.6
502,-200.0,-300.0,125.0,0.6
503,-400.0,100.0,150.0,0.8
504,0.0,0.0,150.0,0.4
505,400.0,-200.0,175.0,0.4
506,-300.0,400.0,100.0,1.0
507,-100.0,100.0,125.0,1.0
508,400.0,300.0,150.0,0.6
509,400.0,-100.0,100.0,0.8
510,-400.0,-400.0,25.0,0.6
511,-100.0,100.0,75.0,0.8
512,-100.0,-100.0,175.0,0.2
513,0.0,-400.0,125.0,1.0
514,400.0,-200.0,125.0,0.2
515,-400.0,200.0,150.0,1.0
516,0.0,-400.0,75.0,1.0
517,-200.0,-100.0,100.0,0.4
518,-200.0,100.0,150.0,0.4
519,0.0,0.0,100.0,0.4
520,-300.0,-400.0,125.0,0.2
521,300.0,100.0,75.0,0.6
522,100.0,200.0,125.0,0.2
523,100.0,0.0,175.0,0.4
524,-300.0,-200.0,100.0,0.8
525,0.0,300.0,100.0,0.2
526,300.0,0.0,25.0,1.0
527,400.0,200.0,50.0,0.6
528,-100.0,-200.0,150.0,0.6
529,-300.0,-200.0,100.0,0.4
530,-300.0,100.0,25.0,1.0
531,-300.0,-400.0,100.0,0.6
532,100.0,-300.0,150.0,0.2
533,-400.0,-300.0,150.0,1.0
534,200.0,-300.0,125.0,1.0
535,300.0,300.0,150.0,0.8
536,-100.0,0.0,150.0,0.2
537,-300.0,-200.0,175.0,1.0
538,-200.0,300.0,50.0,0.2
539,-200.0,300.0,100.0,0.4
540,-200.0,-400.0,50.0,1.0
541,-200.0,400.0,75.0,0.2
542,400.0,400.0,25.0,0.8
543,0.0,300.0,25.0,0.6
544,-200.0,-200.0,75.0,0.4
545,-100.0,0.0,50.0,0.6
546,-200.0,300.0,25.0,0.2
547,300.0,400.0,25.0,1.0
548,-400.0,400.0,25.0,0.6
549,-100.0,400.0,150.0,0.8
550,-200.0,-400.0,175.0,0.2
551,0.0,200.0,150.0,0.2
552,-100.0,-400.0,125.0,0.4
553,300.0,-300.0,75.0,0.6
554,100.0,100.0,175.0,0.4
555,0.0,-200.0,125.0,0.6
556,0.0,-300.0,100.0,0.4
557,200.0,400.0,75.0,0.4
558,-300.0,-300.0,100.0,0.4
559,300.0,100.0,175.0,0.4
560,-400.0,200.0,175.0,0.4
561,-300.0,400.0,175.0,0.8
562,-200.0,100.0,125.0,1.0
563,-100.0,300.0,100.0,0.8
564,-300.0,300.0,125.0,0.2
565,200.0,-400.0,150.0,1.0
566,-400.0,-400.0,75.0,0.2
567,100.0,-100.0,175.0,0.2
568,-400.0,-300.0,175.0,0.2
569,200.0,300.0,50.0,0.8
570,-200.0,200.0,75.0,0.2
571,300.0,400.0,125.0,0.4
572,400.0,-300.0,50.0,0.8
573,200.0,100.0,75.0,0.2
574,0.0,0.0,125.0,1.0
575,300.0,-100.0,175.0,0.2
576,-300.0,-100.0,100.0,0.4
577,200.0,200.0,125.0,0.8
578,-400.0,-400.0,100.0,1.0
579,-100.0,0.0,75.0,0.4
580,300.0,-400.0,25.0,0.8
581,-200.0,100.0,175.0,0.8
582,-200.0,-400.0,100.0,0.4
583,-200.0,400.0,100.0,0.2
584,-400.0,200.0,50.0,0.8
585,200.0,-300.0,175.0,0.2
586,100.0,-300.0,150.0,0.4
587,-400.0,-200.0,25.0,0.6
588,-100.0,-200.0,100.0,0.6
589,100.0,300.0,150.0,0.8
590,300.0,-100.0,125.0,0.8
591,400.0,-200.0,125.0,0.8
592,200.0,-100.0,50.0,0.8
593,-300.0,-300.0,25.0,1.0
594,200.0,-200.0,75.0,0.4
595,300.0,-400.0,125.0,0.6
596,0.0,-100.0,50.0,0.4
597,0.0,-100.0,150.0,1.0
598,-100.0,0.0,150.0,0.6
599,300.0,-200.0,125.0,0.6
600,400.0,-400.0,175.0,1.0
601,0.0,-400.0,75.0,0.6
602,0.0,-400.0,75.0,0.8
603,-400.0,-300.0,125.0,0.6
604,100.0,0.0,150.0,0.4
605,100.0,400.0,25.0,0.4
606,100.0,300.0,25.0,0.2
607,-400.0,200.0,50.0,1.0
608,300.0,-300.0,50.0,0.6
609,-200.0,-400.0,175.0,1.0
610,400.0,300.0,125.0,0.2
611,-300.0,400.0,75.0,0.6
612,-300.0,100.0,175.0,0.2
613,0.0,0.0,50.0,0.2
614,100.0,-100.0,50.0,0.8
615,-200.0,0.0,100.0,0.6
616,100.0,300.0,100.0,0.6
617,300.0,-100.0,100.0,1.0
618,100.0,100.0,175.0,1.0
619,-200.0,-200.0,125.0,1.0
620,400.0,100.0,125.0,0.2
621,-400.0,-400.0,100.0,0.4
622,200.0,-300.0,150.0,1.0
623,0.0,-300.0,150.0,0.8
624,200.0,200.0,25.0,0.4
625,-400.0,-200.0,175.0,0.8
626,200.0,-200.0,50.0,0.8
627,-200.0,-300.0,100.0,0.4
628,-100.0,300.0,175.0,0.2
629,-400.0,-300.0,50.0,0.4
630,100.0,400.0,150.0,0.8
631,300.0,-200.0,50.0,0.6
632,-200.0,300.0,100.0,0.2
633,-200.0,0.0,150.0,0.2
634,100.0,-100.0,100.0,0.8
635,100.0,0.0,125.0,0.8
636,-200.0,0.0,100.0,0.8
637,400.0,300.0,175.0,1.0
638,400.0,200.0,25.0,0.4
639,0.0,100.0,50.0,0.4
640,-100.0,-400.0,100.0,0.8
641,-200.0,300.0,150.0,0.8
642,-300.0,-400.0,175.0,0.2
643,-300.0,-400.0,75.0,0.6
644,400.0,300.0,150.0,0.8
645,200.0,100.0,75.0,0.8
646,-100.0,100.0,75.0,0.4
647,-200.0,-100.0,150.0,0.6
648,300.0,-100.0,75.0,0.6
649,300.0,-200.0,100.0,1.0
650,400.0,400.0,175.0,0.8
651,-100.0,-400.0,75.0,1.0
652,-300.0,-100.0,125.0,0.2
653,300.0,-200.0,75.0,0.4
654,-100.0,-100.0,25.0,1.0
655,-100.0,300.0,75.0,1.0
656,-300.0,-100.0,50.0,0.6
657,-400.0,200.0,50.0,0.4
658,0.0,200.0,150.0,0.6
659,-400.0,-100.0,150.0,1.0
660,-300.0,300.0,50.0,0.2
661,-400.0,-400.0,150.0,0.6
662,-300.0,300.0,150.0,0.6
663,-300.0,-100.0,50.0,0.4
664,300.0,400.0,125.0,0.6
665,100.0,-100.0,150.0,0.8
666,-300.0,0.0,175.0,0.2
667,0.0,200.0,50.0,0.4
668,0.0,0.0,175.0,0.4
669,300.0,-100.0,50.0,0.6
670,-300.0,200.0,50.0,0.6
671,300.0,-300.0,175.0,0.8
672,200.0,-400.0,75.0,0.8
673,-300.0,0.0,150.0,1.0
674,200.0,-400.0,50.0,0.2
675,100.0,200.0,125.0,0.4
676,300.0,0.0,125.0,0.2
677,100.0,-100.0,175.0,0.6
678,-400.0,-100.0,25.0,0.4
679,-300.0,-200.0,25.0,0.2
680,-300.0,-300.0,175.0,0.6
681,100.0,400.0,75.0,0.4
682,-100.0,100.0,125.0,0.4
683,-200.0,200.0,25.0,1.0
684,300.0,300.0,25.0,0.6
685,-200.0,-400.0,125.0,0.2
686,100.0,100.0,50.0,0.4
687,100.0,-300.0,175.0,0.8
688,-300.0,-300.0,25.0,0.6
689,200.0,300.0,125.0,0.6
690,200.0,-300.0,100.0,1.0
691,300.0,0.0,125.0,0.4
692,400.0,100.0,175.0,0.2
693,300.0,200.0,75.0,0.6
694,300.0,100.0,75.0,0.2
695,100.0,-300.0,125.0,1.0
696,-400.0,200.0,125.0,0.8
697,400.0,300.0,25.0,0.6
698,-200.0,200.0,25.0,0.6
699,400.0,-200.0,75.0,1.0
700,-100.0,-100.0,125.0,0.8
701,-400.0,0.0,100.0,0.6
702,-100.0,200.0,50.0,1.0
703,-100.0,-100.0,50.0,0.8
704,300.0,-300.0,100.0,0.8
705,100.0,-400.0,25.0,1.0
706,-100.0,-400.0,150.0,0.2
707,300.0,-300.0,125.0,0.8
708,300.0,-400.0,175.0,0.2
709,0.0,100.0,100.0,0.2
710,300.0,300.0,125.0,0.4
711,100.0,-400.0,75.0,0.6
712,400.0,-200.0,100.0,0.2
713,-100.0,-200.0,125.0,0.4
714,200.0,-400.0,50.0,0.6
715,0.0,-200.0,50.0,1.0
716,200.0,-200.0,125.0,0.6
717,200.0,200.0,150.0,1.0
718,100.0,200.0,75.0,1.0
719,0.0,-400.0,150.0,1.0
720,200.0,100.0,150.0,1.0
721,400.0,-400.0,25.0,1.0
722,100.0,-200.0,175.0,0.2
723,0.0,-300.0,125.0,0.6
724,200.0,0.0,125.0,0.2
725,0.0,0.0,25.0,0.2
726,100.0,-100.0,125.0,0.4
727,0.0,-100.0,125.0,0.6
728,-400.0,-400.0,75.0,0.4
729,100.0,400.0,50.0,0.4
730,-200.0,-300.0,25.0,0.8
731,-400.0,200.0,125.0,0.6
732,-400.0,-300.0,25.0,0.6
733,100.0,-400.0,25.0,0.6
734,-400.0,300.0,150.0,1.0
735,400.0,100.0,25.0,0.2
736,-400.0,-400.0,25.0,0.2
737,300.0,300.0,175.0,0.6
738,0.0,-400.0,150.0,0.8
